CohortIndex,AverageRetention,RetentionDropDelta
1,0.20991063750650996,0.79008936249349
2,0.21934232153032057,-0.009431684023810616
3,0.21711358394730434,0.002228737583016227
4,0.20580699032337088,0.011306593623933464
5,0.18877438977453162,0.01703260054883926
6,0.17921356854696435,0.009560821227567268
7,0.17804808244864992,0.0011654860983144333
8,0.15729494498750482,0.0207531374611451
9,0.1529897202235302,0.00430522476397463
10,0.15070078068067716,0.00228893954285303
11,0.16451163088462867,-0.013810850203951508
12,0.18261421687774806,-0.018102585993119397
13,0.16704295166344396,0.015571265214304103
14,0.15735477719310875,0.009688174470335209
15,0.16534530882287343,-0.00799053162976468
16,0.1733495397434116,-0.008004230920538175
17,0.17788353791429684,-0.004533998170885234
18,0.16853191130721126,0.009351626607085578
19,0.19471984762284358,-0.02618793631563232
20,0.2015423796396029,-0.006822532016759308
21,0.1885002089768714,0.0130421706627315
22,0.20498516218081433,-0.016484953203942943
23,0.23126370113262695,-0.02627853895181262
24,0.19642857142857142,0.03483512970405553
