"CustomerID","InvoiceNo","OrderDate","OrderTotal","CohortDate","PrevOrderDate","DaysSinceLastOrder","OrderSequenceNumber"
"12346.0","491725","2009-12-14 08:34:00",45.0,"2009-12-14 08:34:00","",0,1
"12346.0","491742","2009-12-14 11:00:00",22.5,"2009-12-14 08:34:00","2009-12-14 08:34:00",0,2
"12346.0","491744","2009-12-14 11:02:00",22.5,"2009-12-14 08:34:00","2009-12-14 11:00:00",0,3
"12346.0","492718","2009-12-18 10:47:00",22.5,"2009-12-14 08:34:00","2009-12-14 11:02:00",4,4
"12346.0","492722","2009-12-18 10:55:00",1.0,"2009-12-14 08:34:00","2009-12-18 10:47:00",0,5
"12346.0","493410","2010-01-04 09:24:00",22.5,"2009-12-14 08:34:00","2009-12-18 10:55:00",17,6
"12346.0","493412","2010-01-04 09:53:00",22.5,"2009-12-14 08:34:00","2010-01-04 09:24:00",0,7
"12346.0","494450","2010-01-14 13:50:00",22.5,"2009-12-14 08:34:00","2010-01-04 09:53:00",10,8
"12346.0","495295","2010-01-22 13:30:00",22.5,"2009-12-14 08:34:00","2010-01-14 13:50:00",8,9
"12346.0","499763","2010-03-02 13:08:00",27.05,"2009-12-14 08:34:00","2010-01-22 13:30:00",39,10
"12346.0","513774","2010-06-28 13:53:00",142.31,"2009-12-14 08:34:00","2010-03-02 13:08:00",118,11
"12346.0","541431","2011-01-18 10:01:00",77183.6,"2009-12-14 08:34:00","2010-06-28 13:53:00",204,12
"12347.0","529924","2010-10-31 14:20:00",611.53,"2010-10-31 14:20:00","",0,1
"12347.0","537626","2010-12-07 14:57:00",1423.58,"2010-10-31 14:20:00","2010-10-31 14:20:00",37,2
"12347.0","542237","2011-01-26 14:30:00",475.39,"2010-10-31 14:20:00","2010-12-07 14:57:00",50,3
"12347.0","549222","2011-04-07 10:43:00",636.25,"2010-10-31 14:20:00","2011-01-26 14:30:00",71,4
"12347.0","556201","2011-06-09 13:01:00",382.52,"2010-10-31 14:20:00","2011-04-07 10:43:00",63,5
"12347.0","562032","2011-08-02 08:48:00",584.91,"2010-10-31 14:20:00","2011-06-09 13:01:00",54,6
"12347.0","573511","2011-10-31 12:25:00",1294.32,"2010-10-31 14:20:00","2011-08-02 08:48:00",90,7
"12347.0","581180","2011-12-07 15:52:00",224.82,"2010-10-31 14:20:00","2011-10-31 12:25:00",37,8
